rho,panel_size,npv,expected_missed,residual_risk_ratio
0.0,5,0.05031326720135055,2.984999999999921,0.9999999999999734
0.0,10,0.051074806333304926,2.969999999999922,0.9999999999999736
0.0,20,0.05263263891982085,2.9399999999999227,0.9999999999999736
0.0,44,0.05656806795374936,2.867999999999925,0.9999999999999734
0.0,50,0.05759707065349567,2.849999999999925,0.9999999999999736
0.0,100,0.06693333745401189,2.6999999999999287,0.9999999999999737
0.0,200,0.0903913035175262,2.399999999999937,0.9999999999999734
0.0,400,0.16485229098338924,1.7999999999999527,0.9999999999999737
0.0,800,0.5483169386261922,0.599999999999984,0.9999999999999736
0.3,5,0.1688640540380328,2.9371685984569753,0.9839760798850838
0.3,10,0.17136334674580025,2.879071952850217,0.9693844959091642
0.3,20,0.176363744023227,2.7734892749986773,0.943363698979142
0.3,44,0.18842950880535903,2.559313604138859,0.8923687601599927
0.3,50,0.19146881115467274,2.5120348948565727,0.8814157525812536
0.3,100,0.21731193462799633,2.180137532643186,0.8074583454234023
0.3,200,0.27265375451094737,1.7039403441630623,0.7099751434012759
0.3,400,0.40227312380782976,1.0725389290843883,0.5958549606024379
0.3,800,0.7598143875285702,0.28609185434791723,0.4768197572465287
0.5,5,0.3003905968413348,2.75623614070263,0.9233621911901609
0.5,10,0.30449266022073274,2.600621411342969,0.8756301048292825
0.5,20,0.3123102789327691,2.381866012568623,0.8101585076764024
0.5,44,0.3298946552010607,2.049730191642811,0.7146897460400315
0.5,50,0.33412628624448254,1.987574771756403,0.6973946567566326
0.5,100,0.3680142786742038,1.6129552903187756,0.5973908482662131
0.5,200,0.4327199129654224,1.1816687097339449,0.49236196238914365
0.5,400,0.5619246130106372,0.7025623127863452,0.39031239599241396
0.5,800,0.8431811080057346,0.17887200200835682,0.2981200033472613
0.7,5,0.5190421779040272,2.1233601401595767,0.7113434305392218
0.7,10,0.5242999442212358,1.8492225927299077,0.6226338696060295
0.7,20,0.5334637886235167,1.566699127298502,0.5328908596253409
0.7,44,0.5521854686622782,1.245248641724643,0.43418711357205114
0.7,50,0.5564546456600814,1.1935591178522673,0.41879267293062006
0.7,100,0.5886451954517299,0.9162186269970077,0.339340232221114
0.7,200,0.6439549432224081,0.6432760015481468,0.26803166731172784
0.7,400,0.7405778398336864,0.37122414891926403,0.20623563828848004
0.7,800,0.91552878317315,0.09276241332029055,0.15460402220048422
0.85,5,0.7593730749441889,1.224908195060332,0.4103545042078164
0.85,10,0.7636030117273028,0.9650416875025469,0.32492986111196864
0.85,20,0.7702486046880673,0.7523547689501101,0.25590298263609185
0.85,44,0.7826002811752595,0.556083662076277,0.19389249026369496
0.85,50,0.785284458766874,0.527907886713158,0.18523083744321336
0.85,100,0.8045906455122132,0.3886015185204009,0.1439264883408892
0.85,200,0.8353450924205631,0.2658549181358479,0.11077288255660325
0.85,400,0.8846435191860952,0.1516078887888701,0.08422660488270561
0.85,800,0.9645814714395105,0.03787372698898002,0.0631228783149667
