n_panel,rho,mean_hits_in_panel,vmr_in_panel,residual_risk_ratio
20,0.0,0.0599999999999984,0.9970000000000001,0.9999999999999736
20,0.05,0.06000000000000002,1.0014272117728988,0.9885535991986211
20,0.1,0.06000000000000268,1.0070693901875998,0.9746908466035027
20,0.15,0.05999999999999912,1.0144781908247793,0.9577789842068988
20,0.2,0.06,1.024566970459398,0.9370937962877449
20,0.25,0.06,1.0389099181730006,0.9118785899290737
20,0.3,0.05999999999999897,1.06029217627487,0.8814157525812536
20,0.35,0.06000000000000002,1.0936435849490376,0.8450900404918693
20,0.4,0.06000000000000529,1.1474296769896557,0.8024406652250394
20,0.45,0.059999999999999984,1.2353873494413048,0.7532103192920052
20,0.5,0.05999999999999998,1.3782334850766635,0.6973946567566326
20,0.55,0.06000000000000303,1.6048161699156076,0.6352844705995818
20,0.6,0.05999999999999805,1.9523009621119443,0.5674873274497673
20,0.65,0.06,2.465408137399187,0.4949218413664137
20,0.7,0.06000000000000004,3.1952631544449757,0.41879267293062006
20,0.75,0.05999999999999998,4.198921160957741,0.34056939580361406
20,0.8,0.05999999999999983,5.541270957930746,0.2620034216464515
20,0.85,0.059999999999994905,7.303041494631365,0.18523083744321336
20,0.9,0.059999999999963145,9.607759504502175,0.11304887398135605
44,0.0,0.13199999999999648,0.9970000000000001,0.9999999999999736
44,0.05,0.13200000000000003,1.0070194792755074,0.9885535991986211
44,0.1,0.1320000000000059,1.0197886198982522,0.9746908466035027
44,0.15,0.13199999999999806,1.0365559055508162,0.9577789842068988
44,0.2,0.132,1.0593884068291635,0.9370937962877449
44,0.25,0.132,1.0918487621810016,0.9118785899290737
44,0.3,0.13199999999999773,1.1402401884115478,0.8814157525812536
44,0.35,0.13200000000000003,1.2157196922530853,0.8450900404918693
44,0.4,0.13200000000001164,1.337446111081853,0.8024406652250394
44,0.45,0.13199999999999995,1.5365082118934796,0.7532103192920052
44,0.5,0.13199999999999995,1.8597915714892919,0.6973946567566326
44,0.55,0.13200000000000667,2.3725839634932173,0.6352844705995818
44,0.6,0.1319999999999957,3.158996914253347,0.5674873274497673
44,0.65,0.132,4.320239468850791,0.4949218413664137
44,0.7,0.1320000000000001,5.9720166126912595,0.41879267293062006
44,0.75,0.13199999999999995,8.243453153746467,0.34056939580361406
44,0.8,0.13199999999999962,11.281402694264322,0.2620034216464515
44,0.85,0.1319999999999888,15.268567593113085,0.18523083744321336
44,0.9,0.13199999999991893,20.48450835229439,0.11304887398135605
100,0.0,0.29999999999999205,0.9970000000000002,0.9999999999999736
100,0.05,0.3000000000000001,1.0200681034482613,0.9885535991986211
100,0.1,0.3000000000000134,1.0494668225564414,0.9746908466035027
100,0.15,0.2999999999999956,1.088070573244902,0.9577789842068988
100,0.2,0.3,1.140638425025283,0.9370937962877449
100,0.25,0.3,1.2153727315330038,0.9118785899290737
100,0.3,0.2999999999999948,1.3267855500637962,0.8814157525812536
100,0.35,0.3000000000000001,1.5005639426291961,0.8450900404918693
100,0.4,0.30000000000002647,1.7808177906303129,0.8024406652250394
100,0.45,0.29999999999999993,2.23912355761522,0.7532103192920052
100,0.5,0.2999999999999999,2.9834271064520905,0.6973946567566326
100,0.55,0.30000000000001514,4.164042148507641,0.6352844705995818
100,0.6,0.2999999999999903,5.974620802583287,0.5674873274497673
100,0.65,0.3,8.648179242237868,0.4949218413664137
100,0.7,0.30000000000000016,12.451108015265927,0.41879267293062006
100,0.75,0.2999999999999999,17.680694470253492,0.34056939580361406
100,0.8,0.29999999999999916,24.675043412376,0.2620034216464515
100,0.85,0.2999999999999745,33.85479515623711,0.18523083744321336
100,0.9,0.29999999999981575,45.863588997142905,0.11304887398135605
