rho,theta,base_rate_clean,p_clean_panel,npv,expected_missed,residual_risk_ratio,variance_to_mean,lift
0.0,3.540175906917621,0.04956308282316094,0.8605139508106714,0.05759707065349567,2.849999999999925,0.9999999999999736,0.9970000000000013,1.162096208966655
0.05,3.485735505906728,0.06549611982651829,0.8612455883620078,0.07604813390229904,2.81737775771607,0.9885535991986211,1.2297781347960877,1.161108995521112
0.1,3.431116135698811,0.08244498007486702,0.8621480635239114,0.09562740271999745,2.7778689128199825,0.9746908466035027,1.5264379367059113,1.1598935754870665
0.15,3.3764453484334687,0.10069385011684732,0.8632775523084117,0.11664133956407309,2.7296701049896614,0.9577789842068988,1.915984875471285,1.1583760023945846
0.2,3.321893584343723,0.12053542769937002,0.8647086460186615,0.13939426679072284,2.670717319420073,0.9370937962877449,2.4464422888914914,1.1564588889035101
0.25,3.26768557492487,0.14229729201749025,0.866536359100186,0.16421387345506447,2.5988539812978604,0.9118785899290737,3.200579381833038,1.1540196663396824
0.3,3.2141113937348034,0.1663626174281997,0.8688758050197967,0.19146881115467274,2.5120348948565727,0.8814157525812536,4.324836005189216,1.1509124712906649
0.35,3.161533170350124,0.19318726420959934,0.8718591400038636,0.22158082119634973,2.4085066154018273,0.8450900404918693,6.07841796653098,1.14697426925589
0.4,3.1103816316756334,0.22331220978095587,0.8756292757568399,0.2550305431347514,2.2869558958913623,0.8024406652250394,8.906434069087707,1.142035822335499
0.45,3.0611370937001507,0.2573678901790042,0.8803297279696738,0.29235396920262835,2.1466494099822153,0.7532103192920052,13.531155899571766,1.1359380107568613
0.5,3.0142939539798754,0.2960661962186237,0.8860907040459246,0.33412628624448254,1.987574771756403,0.6973946567566326,21.041855346925647,1.1285526362413703
0.55,2.9703152009379656,0.3401766923337469,0.893013129392951,0.3809313448336319,1.8105607412088085,0.6352844705995818,32.95533440766801,1.1198043646679374
0.6,2.9295898674552165,0.3904849193580876,0.9011536638104133,0.43331668619863556,1.6173388832318367,0.5674873274497673,51.22571900788589,1.1096886581713794
0.65,2.8924072539033503,0.4477299411172657,0.9105135853935867,0.4917334000279919,1.4105272478942792,0.4949218413664137,78.20435417167303,1.0982812514189242
0.7,2.8589564672677406,0.5125127798881276,0.9210324397241239,0.5564546456600814,1.1935591178522673,0.41879267293062006,116.57936269950162,1.0857380879000627
0.75,2.8293525049404216,0.585154140874447,0.9325845207100336,0.6274542713071555,0.9706227780403,0.34056939580361406,169.35064419983073,1.072288867971601
0.8,2.8036864244190873,0.6654530519458304,0.9449737258679788,0.7042027029212874,0.7467097516923868,0.2620034216464515,239.92998352488507,1.0582304805157183
0.85,2.782101221782163,0.7522399729191553,0.957920361878028,0.785284458766874,0.527907886713158,0.18523083744321336,332.56202384930174,1.043928117405787
0.9,2.764912149587881,0.8424691652663483,0.971031913516253,0.8676019330977912,0.32218929084686476,0.11304887398135605,453.7416707893511,1.0298322702689031
