base_rate,p_clean_panel,npv,expected_missed,residual_risk_ratio,n_clean_panel,structure,rho_global,rho_family,design
0.389775,0.9001,0.43303521830907676,1.614731696478169,0.5668105855259802,180020,global only,0.6,0.0,spread over 20 families
0.389775,0.901065,0.43257145710908756,1.6217697946319078,0.5692811312793155,180213,global only,0.6,0.0,concentrated in 1 family
0.27741,0.88176,0.3146094175285792,2.0746178098348755,0.7294691746750475,176352,"half global, half family",0.3,0.3,spread over 20 families
0.27741,0.900345,0.3081152224980424,2.379376794451016,0.8366273625248064,180069,"half global, half family",0.3,0.3,concentrated in 1 family
0.12314,0.865085,0.14234439390348924,2.56432604888537,0.8978645424174782,173017,family only,0.0,0.6,spread over 20 families
0.12314,0.901975,0.13652263089331745,2.860938496078051,1.0017194322002128,180395,family only,0.0,0.6,concentrated in 1 family
